subject,SR_stranger_vs_SR_computer,SR_stranger_vs_SD,SR_stranger_vs_D,SR_computer_vs_SD,SR_computer_vs_D,SD_vs_D,SR_comp_pun_vs_D_loss,SR_comp_rew_vs_D_win,SR_str_pun_vs_SD_loss,SR_str_rew_vs_SD_win,SD_win_vs_D_win
1001,0.18,-0.12,0.02,-0.15,-0.01,0.12,0.22,0.28,0.13,0.12,0.54
1006,0.06,-0.19,0.01,0.20,0.02,0.10,-0.05,-0.05,-0.30,-0.16,0.58
1009,0.18,0.01,0.00,0.17,0.06,0.15,0.32,0.13,-0.02,0.02,0.57
1010,0.37,0.10,-0.02,0.30,0.16,0.20,-0.19,-0.07,0.04,-0.10,0.62
1012,0.31,-0.03,0.07,0.09,0.25,0.00,-0.06,0.09,0.05,0.04,0.77
1013,-0.42,-0.01,-0.02,0.06,-0.08,0.09,0.34,0.14,0.20,0.27,0.65
1015,0.41,0.18,0.10,0.21,0.25,0.06,-0.35,-0.30,-0.24,-0.16,0.76
1016,-0.05,0.10,0.04,-0.06,-0.10,0.24,0.09,-0.11,0.00,-0.07,0.80
1019,-0.10,0.20,-0.14,-0.32,-0.04,0.14,0.15,0.08,0.17,0.22,0.59
1021,-0.02,0.06,0.23,-0.11,0.03,0.25,-0.05,0.18,0.16,0.23,0.60
1242,0.29,0.01,0.06,0.15,0.16,0.14,0.11,0.05,-0.21,-0.18,0.83
1243,-0.09,0.07,-0.04,-0.01,0.09,0.12,-0.09,0.03,-0.01,-0.11,0.80
1244,0.11,0.01,0.17,0.06,0.04,0.16,0.11,0.09,-0.00,-0.06,0.39
1248,0.33,0.01,0.12,-0.24,0.09,-0.00,0.35,0.25,0.26,0.41,0.70
1249,0.12,0.16,0.13,0.03,0.05,0.20,-0.05,0.15,-0.14,-0.28,0.83
1251,0.17,-0.20,0.31,0.17,-0.01,-0.11,0.17,0.05,0.03,-0.03,0.54
1255,0.03,-0.11,0.10,0.00,0.09,0.22,0.18,0.17,0.33,0.13,0.46
1276,0.22,-0.11,-0.05,-0.05,-0.15,-0.04,0.15,-0.01,0.11,0.08,0.69
1286,0.26,0.16,0.15,0.21,0.31,0.31,0.09,0.03,0.02,-0.11,0.61
1294,-0.17,0.08,-0.05,-0.06,-0.04,0.05,-0.23,-0.19,-0.22,-0.24,0.68
1301,-0.03,0.17,-0.08,0.11,-0.13,-0.10,0.15,0.14,0.07,0.03,0.45
1302,0.16,0.24,-0.12,0.01,0.06,0.06,0.01,0.00,-0.23,-0.24,0.66
1303,0.17,0.09,0.04,0.09,0.17,-0.03,-0.04,0.09,0.12,0.01,0.43
3116,0.28,-0.02,0.16,0.14,0.05,0.11,-0.02,-0.11,-0.05,-0.01,0.72
3122,0.03,-0.04,-0.01,-0.04,-0.05,0.06,0.26,0.28,0.32,0.26,0.61
3125,-0.03,0.20,0.08,-0.06,0.08,-0.10,0.01,0.20,-0.00,0.05,0.27
3140,0.05,0.06,-0.02,0.19,-0.08,-0.02,0.01,0.07,0.26,0.28,0.57
3143,0.06,0.03,0.12,0.22,0.15,0.09,0.18,0.02,-0.08,-0.01,0.72
3166,-0.06,0.24,-0.10,0.08,0.06,0.19,-0.00,-0.17,-0.06,-0.00,0.70
3167,0.02,0.18,0.24,0.28,0.12,0.46,0.15,0.15,-0.07,0.17,0.80
3170,-0.09,-0.13,0.07,-0.11,-0.17,0.18,0.13,0.15,0.08,-0.12,0.75
3173,0.12,0.16,-0.05,0.02,-0.00,0.13,-0.07,-0.02,0.02,-0.00,0.76
3176,0.00,0.17,-0.06,0.30,-0.14,-0.16,0.06,0.01,0.17,-0.02,0.60
3189,0.35,0.14,-0.00,-0.03,-0.11,0.04,0.18,0.22,0.09,0.22,0.67
3190,-0.08,-0.09,-0.02,-0.06,-0.01,0.02,0.21,0.34,0.40,0.27,0.53
3200,0.07,0.08,0.03,0.31,-0.28,-0.07,0.04,0.14,0.13,0.14,0.69
3206,0.15,-0.03,0.06,0.18,0.15,0.29,0.21,0.27,0.06,0.28,0.47
3212,-0.02,-0.00,-0.26,-0.10,-0.05,-0.09,0.03,0.07,-0.06,0.15,0.61
3220,0.25,0.08,0.02,0.07,0.13,0.13,0.12,0.15,0.10,0.08,0.67
